Año,Trimestre,Provincia,Mbps (Media de bajada),Velocidad anterior,Variación (%)
2022,2,Capital Federal,93.97,88.22,6.517796418045794
2022,3,Capital Federal,101.05,93.97,7.534319463658614
2022,4,Capital Federal,182.86,101.05,80.95992083127167
2023,1,Capital Federal,188.65,182.86,3.1663567756753754
2023,2,Capital Federal,208.01,188.65,10.262390670553929
2023,3,Capital Federal,218.13,208.01,4.865150713907988
2023,4,Capital Federal,234.44,218.13,7.4771924998853905
2024,1,Capital Federal,229.94,234.44,-1.9194676676335096
2024,2,Capital Federal,233.01,229.94,1.3351309037140093
2014,2,Catamarca,2.9153584248268,2.80273440079234,4.018362353657948
2014,3,Catamarca,2.91517617504052,2.9153584248268,-0.006251368090035588
2014,4,Catamarca,3.33600533479779,2.91517617504052,14.435805402101318
2015,1,Catamarca,3.48360366096299,3.33600533479779,4.42440318142197
2015,2,Catamarca,3.68250829503855,3.48360366096299,5.709737772539129
2015,3,Catamarca,3.88456387259975,3.68250829503855,5.486900812509498
2015,4,Catamarca,4.1242683691587,3.88456387259975,6.170692629093715
2016,1,Catamarca,4.20358844929513,4.1242683691587,1.923252151329093
2016,2,Catamarca,4.36483596451661,4.20358844929513,3.835949145985462
2016,3,Catamarca,4.72524117995849,4.36483596451661,8.25701626296497
2016,4,Catamarca,4.88571130511986,4.72524117995849,3.3960197807888197
2017,1,Catamarca,4.97378483754513,4.88571130511986,1.8026757400294229
2017,2,Catamarca,5.10218282589971,4.97378483754513,2.581494627297798
2017,3,Catamarca,5.26001806671356,5.10218282589971,3.093484616283166
2017,4,Catamarca,7.78415435139573,5.26001806671356,47.98721701462219
2018,1,Catamarca,8.19886052871468,7.78415435139573,5.3275687839436525
2018,2,Catamarca,7.69309650745294,8.19886052871468,-6.168711121385895
2018,3,Catamarca,7.80652194153063,7.69309650745294,1.4743794513406396
2018,4,Catamarca,8.04392020265991,7.80652194153063,3.041024708664726
2019,1,Catamarca,7.96400515527188,8.04392020265991,-0.9934838408964369
2019,2,Catamarca,8.81,7.96400515527188,10.622731003232749
2019,3,Catamarca,9.29340742945983,8.81,5.48703098138285
2019,4,Catamarca,24.8783076704626,9.29340742945983,167.69845031865378
2020,1,Catamarca,29.1322250129396,24.8783076704626,17.098901576523108
2020,2,Catamarca,34.9259564285714,29.1322250129396,19.88770652793741
