Año,Trimestre,Provincia,Accesos por cada 100 hogares,Acceso anterior,Variación (%)
2023,1,Corrientes,52.05,51.64,0.7939581719597145
2023,2,Corrientes,52.37,52.05,0.614793467819405
2023,3,Corrientes,52.78,52.37,0.7828909681115213
2023,4,Corrientes,52.56,52.78,-0.41682455475558705
2024,1,Corrientes,51.94,52.56,-1.1796042617960512
2024,2,Corrientes,51.38,51.94,-1.0781671159029556
2014,2,Córdoba,53.448126115626,52.5178475440063,1.7713570055212058
2014,3,Córdoba,54.2336102829994,53.448126115626,1.4696196564013018
2014,4,Córdoba,54.696896793323,54.2336102829994,0.8542424299361551
2015,1,Córdoba,54.6973465018821,54.696896793323,0.0008221829490654821
2015,2,Córdoba,55.8691635078182,54.6973465018821,2.142365362999423
2015,3,Córdoba,57.0834037895185,55.8691635078182,2.1733639909077587
2015,4,Córdoba,57.3648817660792,57.0834037895185,0.49309949630646527
2016,1,Córdoba,55.2830927837402,57.3648817660792,-3.6290303723244057
2016,2,Córdoba,57.5479805282864,55.2830927837402,4.096890442447075
2016,3,Córdoba,58.243816258032,57.5479805282864,1.2091401355145277
2016,4,Córdoba,57.696719154379,58.243816258032,-0.9393222127294163
2017,1,Córdoba,57.6533295928744,57.696719154379,-0.07520282286502214
2017,2,Córdoba,58.9735289080036,57.6533295928744,2.2898925776740744
2017,3,Córdoba,62.3070022529633,58.9735289080036,5.652490883087203
2017,4,Córdoba,63.3326256520777,62.3070022529633,1.646080475755232
2018,1,Córdoba,63.5171696520162,63.3326256520777,0.2913885190112021
2018,2,Córdoba,63.2743661231958,63.5171696520162,-0.38226440213035484
2018,3,Córdoba,64.2421002602934,63.2743661231958,1.529425257636581
2018,4,Córdoba,65.0892645911237,64.2421002602934,1.3187058446062498
2019,1,Córdoba,65.5173840768055,65.0892645911237,0.6577420844607113
2019,2,Córdoba,68.0713093878985,65.5173840768055,3.8980880373658544
2019,3,Córdoba,68.5923490106902,68.0713093878985,0.7654320557029468
2019,4,Córdoba,70.4829556624422,68.5923490106902,2.7562937835199977
2020,1,Córdoba,70.6880744339108,70.4829556624422,0.29101896982153014
2020,2,Córdoba,72.7135853124239,70.6880744339108,2.8654209281182736
2020,3,Córdoba,75.2203572366921,72.7135853124239,3.4474602146180846
2020,4,Córdoba,78.0796087633819,75.2203572366921,3.801167172993796
2021,1,Córdoba,78.5902806238002,78.0796087633819,0.6540399836862345
2021,2,Córdoba,80.1151879593124,78.5902806238002,1.9403256018536157
2021,3,Córdoba,81.2845665540848,80.1151879593124,1.45962160803554
2021,4,Córdoba,84.5094185304609,81.2845665540848,3.967360734131936
2022,1,Córdoba,85.7574535631355,84.5094185304609,1.476799928785153
2022,2,Córdoba,87.48,85.7574535631355,2.0086259156428294
2022,3,Córdoba,88.31,87.48,0.9487882944673047
2022,4,Córdoba,89.03,88.31,0.8153097044502308
2023,1,Córdoba,88.84,89.03,-0.2134112097045914
2023,2,Córdoba,90.13,88.84,1.4520486267447006
2023,3,Córdoba,90.05,90.13,-0.08876067901919261
2023,4,Córdoba,90.67,90.05,0.688506385341482
2024,1,Córdoba,90.7,90.67,0.033087018859602
2024,2,Córdoba,90.79,90.7,0.09922822491731356
2014,2,Entre Ríos,34.6874323714598,34.3671218212502,0.9320261145975296
2014,3,Entre Ríos,34.981647333713,34.6874323714598,0.8481889322407005
2014,4,Entre Ríos,36.0254708519679,34.981647333713,2.9839175619638
2015,1,Entre Ríos,42.0651933735121,36.0254708519679,16.765145267252706
2015,2,Entre Ríos,42.9319790164588,42.0651933735121,2.0605768651773237
2015,3,Entre Ríos,43.6771816352633,42.9319790164588,1.735775139829491
2015,4,Entre Ríos,44.108548073001,43.6771816352633,0.9876242504379722
2016,1,Entre Ríos,43.8459681446623,44.108548073001,-0.5953039485773247
2016,2,Entre Ríos,44.7388745451874,43.8459681446623,2.036461819201042
2016,3,Entre Ríos,45.4351408844733,44.7388745451874,1.5562893487243445
2016,4,Entre Ríos,45.208402854677,45.4351408844733,-0.4990367045913254
2017,1,Entre Ríos,44.9072736870412,45.208402854677,-0.6660911437278232
